Lari!	Plueng!
Siapa?	Soe?
Wow!	Wow!
Tolong!	Tulông!
Lompat!	Grôp!
Loncat.	Grôp.
Berhenti!	Hôp!
Tunggu!	Prèh!
Tunggu.	Prèh.
Cepatlah!	Bagahlah!
Cepat!	Bagah!
Buruan!	Beubagah!
Begitu rupanya.	Meunan rupajih.
Senyum.	Senyum.
Bangunlah.	Beudöhlah.
Saya mengerti!	Lôn meuphom!
Mengerti?	Meuphom?
Dengar.	Deungo.
Tak bisa!	Han jeut!
Tidak mungkin!	Hana mungken!
Terima kasih.	Teurimeng geunaseh.
Makasih.	makasih.
Kami mencoba.	Kamoe meucuba.
Kenapa harus saya?	Pakön harus lôn?
Ayo!	Yak!
Keluar!	Tubiet!
Tahan!	Theun!
Saya setuju.	Lôn seutuju.
Saya sedih.	Lôn seudéh.
Tidak apa-apa.	Hana peu-peu.
Ini saya!	Nyoe lôn!
Ini saya.	Nyoe lôn.
Saya juga.	Lôn pih.
Sempurna!	Sempurna!
Perlihatkan pada saya.	Peudeuh bak lôn.
Perlihatin.	Peudeuh.
Diam!	Iem!
Diamlah!	Ka iem!
Ahmad menang.	Ahmad meunang.
Bangun!	Beudöh!
Bangunlah!	Beudöhlah!
Bangunlah.	Beudöhlah.
Jangan bergerak.	bèk meugrak.
Kerja yang bagus!	keureuja beu göt!
Kerja bagus!	keureuja göt!
Tangkap Ahmad.	Drop Ahmad.
Hai, kawan-kawan.	Hai, rakan-rakan.
Saya gagal.	Lôn gagal.
Saya mengerti.	Lôn meuphom.
Saya mengerti.	Lôn meuphom.
Saya menolak.	Lôn tulak.
Saya tetap tinggal.	Lôn tetap tinggai.
Saya baik-baik saja.	Lôn get-get mantöng.
Itu aneh.	Nyan aneh.
Ini aneh.	Nyoe aneh.
Awas!	Minah!
Duduklah!	Duek!
Duduklah.	Duek.
Berdiri!	Döng!
Berdirilah.	Ka döng.
Hebat!	Hayeue!
Mereka menang.	Awak nyan meunang.
Percaya saya.	Pateh lôn.
Kami sudah mencoba.	Kamoe kaleuh meucuba.
Untuk apa?	Keu peu?
Dia siapa?	Jih soe?
Duduklah.	Duek.
Tenanglah.	Teunang.
Tenanglah.	Teunang.
Kemari.	Keunoe.
Datanglah segera.	Jak laju sigra.
Tenanglah.	Teunang.
Jangan menangis.	Bèk moe.
Jangan mati.	Bèk maté.
Dia adalah seorang DJ.	Jih adalah sidroe DJ.
Saya bisa bermain ski.	Lôn jeut meuen ski.
Saya memukul Ahmad.	Lôn poh Ahmad.
Saya serius!	Lôn serius!
Saya serius.	Lôn serius.
Saya janji.	Lôn janji.
Saya laki-laki.	Lôn agam.
Saya bosan.	Lôn bosan.
Saya bosan.	Lôn bosan.
Saya mabuk.	Lôn mabôk.
Saya yang pertama.	Lôn yang keuphôn.
Saya telanjang.	Lôn lhôn.
Saya lelah.	Lôn hèk.
Dingin.	Leupie.
Ini adalah makanan.	Nyoe adalah makanan.
Mari kita coba!	Yak tanyoe cuba!
Mari kita coba.	Yak tanyoe cuba.
Tentu saja!	Teuntè mantöng!
Harap tenang!	Harap teunang!
Lihat di bawah ini.	Kalön di miyup nyoe.
Beneran?	Butoy?
Terima kasih.	Teurimeng geunaseh.
Terus kenapa?	Man paken?
Ahmad menangis.	Ahmad moe.
Coba lagi.	Aci lom.
Belok kiri.	Wét u wie.
Awas!	Minah!
Kerja yang bagus!	Buet yang gét!
Kerja bagus!	Buet gét!
Ada apa?	Peu na?
Dia siapa?	Jih soe?
Ahmad itu siapa?	Ahmad nyan soe?
Luar biasa!	Luar biasa!
Kamu tidak apa-apa?	Kah hana pu-pu?
Hati-hati!	Beuleuheun!
Hati-hati.	Beuleuheun.
Sudah hentikan!	Kasép kajeut!
Sudah hentikan.	Kasép kajeut.
Jangan bergerak!	Bèk meugrak!
Jangan bergerak.	Bèk meugrak.
Jangan berbicara!	Bèk peugah aba!
Makan pelan-pelan.	Pajoh bacut-bacut.
